 ,Module Code,,Module Title,Assess Code,Resit Assesment Code,Examiner,Assessment Title,Duration,Methodology,Reviewer,ASMG Monitor,External Examiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 29636,LH,LH Network Security,A33143, ,Ian Batten,Network Security,01:30,Written Unseen,David Oswald,Eike Ritter,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 29637,LM,LM Network Security (Extended),A33142, ,Ian Batten,Network Security (Extended),01:30,Written Unseen,David Oswald,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26951,LH,LH Networks,A30852,A30853,Ian Batten,Networks,02:00,Written Unseen,David Oswald,Eike Ritter,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26950,LM,LM Networks (Extended),A30850, ,Ian Batten,Networks (Extended),02:00,Written Unseen,David Oswald,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28213,LM,LM Secure System Management,A31672,A32168,Ian Batten,Secure System Management,01:30,Written Unseen,David Galindo,Eike Ritter,Feng Hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 15267,LM,LM Intell Robotics (extended),A13947, ,Jeremy Wyatt,Intelligent Robotics (Extended),02:00,Written Unseen,Nicholas Hawes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 23069,LC,LC Introduction to AI,A27556,A27886,Jeremy Wyatt,Introduction to AI,01:30,Written Unseen,Mark Lee,Peter Tino,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28345,LC,LC Data Struct Algorithms,A31759,A32179,John Bullinaria,Data Structures Algorithms,01:30,Written Unseen,Achim Jung,Ian Batten,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26428,LH,LH Machine Learning,A30406,A30407,Kashif Rajpoot,Machine Learning,01:30,Written Unseen,Peter Tino,Per Kristian Lehre,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 20236,LM,LM Machine Learning (Extended),A22991, ,Kashif Rajpoot,Machine Learning (Extended),01:30,Written Unseen,Peter Tino,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26955,LI,LI ICY Software Workshop,A30862,A30863,Manfred Kerber,ICY Software Workshop,03:00,Written Unseen,Ian Kenny,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 20415,LC,LC Intro to Maths for CS,A23404,A23405,Manfred Kerber,Introduction to Mathematics for Computer Science,02:00,Written Unseen,Steve Vickers,Martin Escardo,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26260,LM,LM MSc Software Workshop 1,A33141, ,Manfred Kerber,MSc Software Workshop 1,01:30,Written Unseen,Ian Kenny,Andrew Howes,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26956,LM,LM Software Workshop (MSc),A30864,A30865,Manfred Kerber,Software Workshop (MSc),03:00,Written Unseen,Ian Kenny,Dave Parker,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 02495,LI,LI Natural Language Processing 1,A06496,A06497,Mark Lee,Natural Language Processing 1,01:30,Written Unseen,Peter Hancox,Peter Tino,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 25344,LI,LI Functional Programming,A29555,A29556,Martin Escardo,Functional Programming,01:30,Open Book,Dan Ghica,Eike Ritter,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 25021,LM,LM Advanced Robotics,A29399,A31763,Morteza Azad,Advanced Robotics,02:00,Written Unseen,Ales Leonardis,Dave Parker,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 28912,LI,LI Graphics,A32106,A32752,Morteza Azad,Graphics,01:30,Written Unseen,Hamid Dehghani,Per Kristian Lehre,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 26425,LI,LI Software Engineering 1,A30401,A30402,Morteza Azad,Software Engineering 1,01:30,Written Unseen,Alan Sexton,Iain Styles,Dimitar Kazakov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 21921,LM,LM Fundamentals: Data Struct,A31341,A27545,Paul Levy,Fundamentals: Data Structures (Special paper),01:30,Written Unseen,Achim Jung,Dave Parker,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 05934,LI,LI Models of Computation,A27509,A07563,Paul Levy,Models of Computation (Special),01:30,Written Unseen,Achim Jung,Martin Escardo,Guy McCusker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 27819,LM,LM Adv Asp Nature ..Ext,A31546,A32846,Per Kristian Lehre,Advanced Aspects of Nature-Inspired Search and Optimisation,01:30,Written Unseen,John Bullinaria,Peter Tino,William Harwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 27818,LH,LH Adv Asp Nature-Insp,A31544,A32821,Per Kristian Lehre,Advanced Aspects of Nature-Inspired Search and Optimisation,01:30,Written Unseen,John Bullinaria,Peter Tino,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,06 12412,LM,LM Intro to Neural Computation,A10894, ,Per Kristian Lehre,Introduction to Neural Computation,01:30,Written Unseen,Peter Tino,Iain Styles,Roderick Murray-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
